                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    135,                0.90649,                0.63669,                0.96187,                0.51661,                0.72384,                0.60937,                0.32164,                  1.824,                 1.3606,                 1.5051,              0.0012394,              0.0012394,              0.0012394
                    136,                0.89713,                0.59924,                 1.0006,                0.55164,                0.70301,                0.66558,                0.36163,                 1.7574,                 1.3929,                 1.4435,               0.001238,               0.001238,               0.001238
                    137,                0.86221,                0.58277,                0.96014,                0.62649,                0.60054,                0.63171,                0.33884,                 1.7738,                  1.496,                 1.4608,              0.0012366,              0.0012366,              0.0012366
                    138,                0.84897,                0.59474,                0.96238,                0.66462,                0.51176,                0.59654,                0.32537,                  1.787,                 1.8046,                 1.4936,              0.0012352,              0.0012352,              0.0012352
                    139,                0.82431,                0.56902,                0.94693,                0.55439,                0.55404,                0.59422,                0.31589,                  1.832,                 1.8174,                 1.5451,              0.0012338,              0.0012338,              0.0012338
                    140,                0.82898,                0.56491,                0.95937,                0.93837,                0.47708,                0.58275,                0.29209,                 1.8509,                 1.8681,                 1.5814,              0.0012324,              0.0012324,              0.0012324
                    141,                 0.8463,                0.63033,                0.97702,                0.91239,                0.49806,                0.58219,                0.29525,                  1.808,                 1.7896,                 1.5473,              0.0012309,              0.0012309,              0.0012309
                    142,                0.83965,                0.57372,                 0.9597,                0.52598,                 0.4887,                0.58422,                0.29576,                 1.7748,                 1.7458,                 1.4991,              0.0012295,              0.0012295,              0.0012295
                    143,                0.87354,                0.58965,                0.97389,                0.50863,                0.50783,                0.55989,                0.28326,                 1.7857,                 1.8543,                 1.5037,              0.0012281,              0.0012281,              0.0012281
                    144,                0.82078,                0.54933,                0.94128,                0.52448,                0.51193,                0.54333,                0.27801,                  1.855,                 1.8393,                 1.5563,              0.0012267,              0.0012267,              0.0012267
                    145,                0.80863,                0.55496,                0.94237,                0.88433,                0.55029,                0.54814,                0.28106,                 1.8216,                 1.7431,                 1.5349,              0.0012253,              0.0012253,              0.0012253
                    146,                0.84214,                0.57968,                0.95589,                0.87417,                0.53101,                0.58444,                 0.3049,                 1.7815,                 1.5364,                 1.5112,              0.0012239,              0.0012239,              0.0012239
                    147,                0.81925,                0.56482,                0.94363,                 0.5926,                0.64349,                0.60409,                0.32449,                 1.7676,                 1.4094,                 1.5019,              0.0012225,              0.0012225,              0.0012225
                    148,                0.82504,                0.56353,                0.95894,                0.59115,                0.64851,                0.61834,                0.34249,                 1.7411,                 1.4862,                 1.4458,               0.001221,               0.001221,               0.001221
                    149,                0.84971,                0.56322,                 0.9593,                    0.7,                0.55371,                0.61007,                0.34357,                 1.7695,                 1.4957,                 1.4573,              0.0012196,              0.0012196,              0.0012196
                    150,                 0.8069,                0.55812,                0.95447,                0.65013,                0.58027,                0.60067,                0.33056,                 1.8166,                 1.5281,                 1.4962,              0.0012182,              0.0012182,              0.0012182
                    151,                0.84726,                0.55945,                0.96433,                0.52313,                0.66884,                0.62503,                0.34238,                 1.8034,                 1.4766,                 1.5009,              0.0012168,              0.0012168,              0.0012168
                    152,                0.84323,                0.60525,                0.97375,                0.55022,                0.65551,                0.64239,                 0.3531,                 1.8297,                 1.4506,                 1.4922,              0.0012154,              0.0012154,              0.0012154
